,loss,accuracy,dice_coef,val_loss,val_accuracy,val_dice_coef
0,0.37266290187835693,0.9472332000732422,0.04723533242940903,0.4599136710166931,0.9759893417358398,0.04652441665530205
1,0.2225605696439743,0.9743736982345581,0.04992055520415306,0.2545922100543976,0.9759893417358398,0.043740205466747284
2,0.16817311942577362,0.9744887948036194,0.06205950677394867,0.23662276566028595,0.9759893417358398,0.053844258189201355
3,0.13025584816932678,0.9745282530784607,0.1038641408085823,0.2187299132347107,0.9759893417358398,0.07944533228874207
4,0.10460259020328522,0.9756907224655151,0.1527731716632843,0.19396644830703735,0.9527559280395508,0.10140298306941986
5,0.08681841194629669,0.9799732565879822,0.22744865715503693,0.18230541050434113,0.9320229887962341,0.08617661148309708
6,0.07304062694311142,0.9817853569984436,0.3005905747413635,0.11118121445178986,0.9758286476135254,0.03462405875325203
7,0.06202283501625061,0.9835249781608582,0.36807820200920105,0.09915655851364136,0.975878894329071,0.0997479185461998
8,0.05474797263741493,0.9848304986953735,0.4204114079475403,0.09299863129854202,0.9765619039535522,0.1259041428565979
9,0.048522595316171646,0.9859814047813416,0.4696914851665497,0.07371270656585693,0.9804602265357971,0.25250691175460815
10,0.0449921078979969,0.9865535497665405,0.4995191693305969,0.05458822101354599,0.9842722415924072,0.47050049901008606
11,0.038769710808992386,0.9884182810783386,0.5583252310752869,0.0496724471449852,0.9859127998352051,0.48456957936286926
12,0.034187912940979004,0.9895729422569275,0.6021098494529724,0.04663567990064621,0.9848204255104065,0.5288666486740112
13,0.031717948615550995,0.9900544285774231,0.6279932856559753,0.04598747193813324,0.9853518605232239,0.5293790698051453
14,0.02986067160964012,0.9904652237892151,0.6488023996353149,0.04912206903100014,0.9859429001808167,0.5509397983551025
15,0.027191126719117165,0.9910733699798584,0.6742734909057617,0.042397238314151764,0.9862662553787231,0.6086528897285461
16,0.025629330426454544,0.9915580153465271,0.6932268738746643,0.04199130833148956,0.9871854782104492,0.584869384765625
17,0.023159584030508995,0.9923484921455383,0.7201464772224426,0.040095772594213486,0.9872853755950928,0.6145185828208923
18,0.021660950034856796,0.9926256537437439,0.7348321676254272,0.04167729616165161,0.9872263073921204,0.6115334033966064
19,0.020969858393073082,0.9927099347114563,0.7422316670417786,0.04043716937303543,0.9876572489738464,0.623365581035614
20,0.019423454999923706,0.9932938814163208,0.7612242102622986,0.04006991535425186,0.9878673553466797,0.6399495005607605
21,0.01755991205573082,0.9938139319419861,0.7813645005226135,0.03610304370522499,0.9880325794219971,0.641889750957489
22,0.017046604305505753,0.9939708709716797,0.7876632809638977,0.03469133749604225,0.9889407157897949,0.6790053844451904
23,0.015570692718029022,0.9944108724594116,0.8047775030136108,0.036525726318359375,0.9884166717529297,0.6936591267585754
24,0.015719342976808548,0.9943090677261353,0.8055321574211121,0.03531496971845627,0.9892600774765015,0.699447751045227
25,0.014255929738283157,0.9948251843452454,0.8202438354492188,0.0349871851503849,0.9892427921295166,0.7102342844009399
26,0.013240847736597061,0.9952162504196167,0.8334960341453552,0.03822620213031769,0.988761305809021,0.7004698514938354
27,0.012780258432030678,0.9953381419181824,0.8388611078262329,0.039563629776239395,0.9870468974113464,0.6954605579376221
